epoch,train_loss,train_acc,train_prec,train_rec,train_f1,val_loss,val_acc,val_prec,val_rec,val_f1,epoch_time_seconds
1,0.7049178535597665,0.7071428571428572,0.6999168052230405,0.7071428571428571,0.7021546079028966,0.7290131355822086,0.715,0.7404447102931261,0.715,0.6998395669203124,39.42695116996765
2,0.519749139547348,0.7835714285714286,0.7783307512621601,0.7835714285714286,0.7797225307206932,0.5498889851570129,0.77375,0.7878692896414415,0.77375,0.7721210440410424,39.88519811630249
3,0.44880773527281626,0.8157142857142857,0.8138452990362389,0.8157142857142856,0.8142655046461963,0.5368395904824138,0.80125,0.8060064345270195,0.8012499999999999,0.7871272095645857,40.68243718147278
4,0.3900913442032678,0.845,0.8425184829009327,0.845,0.843017467044473,0.4779937003552914,0.82,0.8328190836753467,0.82,0.8157837053536323,42.66642880439758
5,0.3659150860990797,0.8539285714285715,0.8523987970683589,0.8539285714285714,0.8526059975754819,0.41303361013531686,0.84,0.8516610056824216,0.8400000000000001,0.8340340487436478,42.898151874542236
6,0.3136176142522267,0.8732142857142857,0.87273994093091,0.8732142857142857,0.8722258584913226,0.4036054944060743,0.83625,0.8374134111234284,0.8362499999999999,0.8316460949426728,41.48229384422302
7,0.2815340049777712,0.8832142857142857,0.8828713180154877,0.8832142857142857,0.8823789104527164,0.37076355814933776,0.865,0.8686943446590003,0.865,0.8656485903703712,41.749566078186035
8,0.2354846947959491,0.9071428571428571,0.9067854542251494,0.907142857142857,0.9066602106392789,0.29089568842202423,0.905,0.9119117607849411,0.905,0.9051252501348701,44.24015212059021
9,0.21189797639846802,0.9178571428571428,0.9175850487180728,0.9178571428571428,0.9173922902355397,0.4188274630904198,0.84875,0.854104381443299,0.84875,0.8496785214637173,45.393842935562134
10,0.20174967676401137,0.92,0.9202937550288572,0.92,0.9201169161230907,0.3933214701671386,0.8475,0.8529609122712698,0.8474999999999999,0.8413771581296745,46.583085775375366
