epoch,train_loss,train_acc,train_prec,train_rec,train_f1,val_loss,val_acc,val_prec,val_rec,val_f1,epoch_time_seconds
1,0.9505099473680769,0.6182142857142857,0.6087197731110272,0.6182142857142857,0.6125482503956861,0.6848951810598374,0.72,0.7338049462397186,0.72,0.7227117034179733,126.98070192337036
2,0.6749950206279755,0.7307142857142858,0.728378565963773,0.7307142857142856,0.7285172706478737,0.5434838104248046,0.78375,0.7849249929721439,0.78375,0.7745034475750665,139.14855313301086
3,0.5334551201547895,0.7932142857142858,0.7894980590505956,0.7932142857142858,0.790693927877294,0.4582969206571579,0.8075,0.8045248361187755,0.8075,0.8052965764812199,145.58571004867554
4,0.5002542444637843,0.7992857142857143,0.7959856027599794,0.7992857142857144,0.7972008111124506,0.4033848415315151,0.82375,0.8230313346028542,0.82375,0.8175443419845386,144.87600207328796
5,0.37393197357654573,0.8546428571428571,0.8529096051125905,0.8546428571428571,0.8534864211311928,0.30703468769788744,0.8725,0.8699347633134348,0.8725,0.8707122740322835,145.5385880470276
6,0.33750646565641673,0.8717857142857143,0.871231712357367,0.8717857142857143,0.8713312481354161,0.32797353971749543,0.865,0.8622963395298179,0.865,0.8614065691571711,147.0638108253479
7,0.2766693245513099,0.8910714285714286,0.8908458407214315,0.8910714285714286,0.8905002453623565,0.3920011643320322,0.84125,0.8504124131729905,0.84125,0.8352329226013436,147.48811602592468
8,0.25483512320688795,0.9017857142857143,0.9016626804512428,0.9017857142857142,0.9015061936573308,0.3149911649897695,0.87125,0.8769676712400791,0.87125,0.8678950774466262,145.4005799293518
9,0.21542207585913795,0.92,0.9197617436783179,0.92,0.9197032675461647,0.4004701121058315,0.8675,0.8758801910038596,0.8675,0.8629443420368318,135.7941391468048
10,0.22658073863812855,0.9128571428571428,0.9128714936092142,0.9128571428571429,0.9127747859751637,0.27275643792003396,0.87875,0.8841038545689054,0.87875,0.8787636153172623,155.68482494354248
11,0.17915905665074075,0.9310714285714285,0.931051251728472,0.9310714285714285,0.9309839077377765,0.35053042121231553,0.8575,0.8599122217125064,0.8575,0.8541112750655636,144.96555399894714
12,0.15434472177709851,0.9389285714285714,0.9390036719875094,0.9389285714285714,0.9389066464925239,0.3566073529049754,0.87625,0.8761798667932263,0.87625,0.8737244237420025,145.9777910709381
13,0.12253115116485527,0.9539285714285715,0.9538971554875485,0.9539285714285715,0.9538638793204637,0.3723694157972932,0.87375,0.8723082984371968,0.87375,0.8724151089880099,141.6965639591217
14,0.11881558141538075,0.9539285714285715,0.9543034067479605,0.9539285714285715,0.9540143999361019,0.42145011664601045,0.88125,0.8813072793179046,0.8812500000000001,0.8801118493482634,148.73180890083313
15,0.13473825506865977,0.955,0.9549535961398502,0.9550000000000001,0.9549654263554435,0.4967240230785683,0.86125,0.8704912959494396,0.86125,0.8583839713319823,151.88086199760437
16,0.12097989255828517,0.9567857142857142,0.9567361114103,0.9567857142857144,0.9567577493281402,0.3910813074791804,0.87375,0.8778757497130263,0.87375,0.8746523678867468,142.16630721092224
17,0.09232793580208506,0.9657142857142857,0.9657769628530852,0.9657142857142857,0.9657067301611718,0.31619562713429333,0.895,0.8957921772957957,0.895,0.8952982883760032,136.86606192588806
18,0.09891864028360163,0.9642857142857143,0.9643280505450796,0.9642857142857142,0.9643042111117868,0.3759972507879138,0.87375,0.8827863310242081,0.87375,0.8713550761146083,135.56581902503967
19,0.0753780774878604,0.9714285714285714,0.9714796375963808,0.9714285714285714,0.971441110366831,0.7106911170616513,0.84125,0.8535798344050771,0.8412499999999999,0.8369232378962665,139.8597800731659
20,0.08443025778979063,0.9671428571428572,0.967101079149767,0.9671428571428571,0.9671015731504053,0.4741684426215943,0.895,0.8936385079746191,0.895,0.8929867038717451,144.55282521247864
