epoch,train_loss,train_acc,train_prec,train_rec,train_f1,val_loss,val_acc,val_prec,val_rec,val_f1,epoch_time_seconds
1,0.8243703290394374,0.6432142857142857,0.6416253514978915,0.6432142857142857,0.6416113384586234,0.4706192933768034,0.82125,0.8248314889154686,0.82125,0.8161931481965267,108.93634676933289
2,0.4506783245291029,0.8335714285714285,0.8313601217867256,0.8335714285714286,0.8317377087050137,0.7360556852817536,0.69125,0.7824074074074073,0.69125,0.6934799965474083,103.94508814811707
3,0.4044081357547215,0.8460714285714286,0.8447973866211733,0.8460714285714286,0.8450484962038162,0.3754388926178217,0.8325,0.8338634979093401,0.8325,0.8321492658683298,110.02086281776428
4,0.32683943339756555,0.8807142857142857,0.8798043888844299,0.8807142857142857,0.8799021681334552,0.30420867417939007,0.8675,0.868504970557846,0.8674999999999999,0.8676230114201435,110.20135593414307
5,0.3533894993577685,0.8617857142857143,0.8609793034524532,0.8617857142857144,0.8611472306169033,0.2705612925626337,0.86875,0.8709998791504274,0.86875,0.8669113178794614,108.83720278739929
6,0.2514369717666081,0.9067857142857143,0.9064774547996418,0.9067857142857143,0.9063969599936749,0.255535992346704,0.8825,0.8922522751741572,0.8825000000000001,0.8832918155784695,110.82699632644653
7,0.23468308235917773,0.915,0.9149112233461202,0.915,0.914669637034762,0.23034164746117314,0.89,0.8955494505494506,0.89,0.8900413720276286,116.549959897995
8,0.23608894952705928,0.9171428571428571,0.9168281640483722,0.9171428571428573,0.9167407988684254,0.45718975549098106,0.81625,0.8263599427392531,0.8162499999999999,0.8062737100083187,112.41368126869202
9,0.23539841903107506,0.9135714285714286,0.9141574024595017,0.9135714285714286,0.9134792951200786,0.23580192819237708,0.93125,0.9319876189109212,0.93125,0.9311852613870227,112.82265210151672
10,0.20940610425812858,0.9296428571428571,0.9299426095539294,0.9296428571428571,0.9294276779680408,0.17915225109551103,0.925,0.9246642772888123,0.925,0.9239156111167474,111.58315181732178
