epoch,train_loss,train_acc,train_prec,train_rec,train_f1,val_loss,val_acc,val_prec,val_rec,val_f1,epoch_time_seconds
1,0.6753667773519243,0.7353571428571428,0.7311300774192109,0.7353571428571428,0.7326236743361358,0.7097525988519192,0.7075,0.7349014344782243,0.7075,0.6620196677913002,39.529869079589844
2,0.46334515282085964,0.8085714285714286,0.8047517452737545,0.8085714285714286,0.8059086252796525,0.6522816301509738,0.7325,0.7407345403910731,0.7325,0.7118444273174998,40.53168988227844
3,0.4229772845336369,0.8317857142857142,0.828908264667646,0.8317857142857144,0.829485313744067,0.397343233525753,0.85125,0.8568966171429855,0.8512500000000001,0.8475267918219405,41.48514699935913
4,0.38319541709763666,0.8460714285714286,0.8451095352964847,0.8460714285714286,0.8453796605165405,0.4970780711993575,0.80125,0.8113598693915436,0.80125,0.7987119161438357,43.762046813964844
5,0.34674106436116353,0.8535714285714285,0.8514859542713812,0.8535714285714285,0.8519991372565452,0.39142479360103605,0.86125,0.8697138238805326,0.86125,0.8622608607962203,43.87942624092102
6,0.27126763199056897,0.8914285714285715,0.8911073115176852,0.8914285714285715,0.8906745899203667,0.3875288771139458,0.83625,0.8453585887796413,0.8362499999999999,0.8368543518319986,44.49207305908203
7,0.2534047672578267,0.9003571428571429,0.9001504873375511,0.9003571428571429,0.9000203384989862,0.41335890609771014,0.82125,0.8245603559302189,0.82125,0.8202303133283415,46.34864902496338
8,0.22493841805628367,0.9067857142857143,0.9064307042150471,0.9067857142857143,0.9065756982200417,0.42533865980803964,0.84625,0.8625965262938757,0.84625,0.8426562054138754,50.71523308753967
9,0.20957496851682664,0.915,0.9148200946494212,0.9149999999999999,0.914532566429008,0.4152943811938167,0.83375,0.8444763294570466,0.83375,0.8315418354664595,48.00299429893494
10,0.16081472083926202,0.9371428571428572,0.937246509092456,0.937142857142857,0.9371120277225234,0.35690900303656237,0.87,0.869561968260485,0.87,0.8675479000087869,46.9803729057312
11,0.1591074645945004,0.9378571428571428,0.9374956306305917,0.937857142857143,0.9376323378255847,0.45395552263827993,0.84875,0.8692274518789405,0.8487500000000001,0.8422660419192998,45.50564885139465
12,0.16112429907279355,0.9403571428571429,0.9402876953637309,0.9403571428571429,0.9402747281367454,0.3614887891151011,0.85375,0.8508950529389993,0.85375,0.8502758789851169,45.83249020576477
13,0.15304731386048454,0.9442857142857143,0.9442471174642485,0.9442857142857143,0.9441252372301795,0.38045895104063676,0.86125,0.8666769648088751,0.86125,0.8616059793407159,45.26670575141907
14,0.09354255267019783,0.9689285714285715,0.9689950206641017,0.9689285714285714,0.9689548898757256,0.4245789375528693,0.865,0.8674424420672462,0.8649999999999999,0.8653202454913753,40.782747983932495
15,0.08104807739811284,0.9710714285714286,0.9710711140918833,0.9710714285714285,0.9710690550706715,0.3886475087702274,0.86,0.8660062956405444,0.86,0.8624451129822169,43.301941871643066
16,0.09512009225785732,0.9671428571428572,0.9670616225725621,0.9671428571428571,0.967088820468516,0.2945210541132838,0.8975,0.9012407448636677,0.8975,0.898787730642929,43.62632179260254
17,0.10888935637261186,0.9617857142857142,0.9617686081276174,0.9617857142857142,0.9617705995525334,0.39904296820401214,0.87625,0.8796412302682939,0.87625,0.8738577300717614,41.40065813064575
18,0.07993687899384115,0.9682142857142857,0.9682158788561009,0.9682142857142858,0.9682121371713647,0.29431145183567425,0.89125,0.8985625210403554,0.8912500000000001,0.8905741839146049,41.82681918144226
19,0.09700386784438576,0.9667857142857142,0.9667364158682603,0.9667857142857144,0.9667542446706667,0.41537565634236673,0.88875,0.8897513576218443,0.88875,0.8887290117099483,40.65172505378723
20,0.06575867561357363,0.9767857142857143,0.9767536066052269,0.9767857142857144,0.9767654425934295,0.47436227530131875,0.885,0.8856103948217111,0.885,0.8830911623085537,41.92321014404297
