epoch,lr,train_loss,train_acc,train_prec,train_rec,train_f1,val_loss,val_acc,val_prec,val_rec,val_f1,val_ema_loss,val_ema_acc,val_ema_prec,val_ema_rec,val_ema_f1,epoch_time_seconds
1,2.9999999999999997e-05,1.0743973915917533,0.6095545977011494,0.6121118906618861,0.6093186023291359,0.5905983239477848,0.8675667834281922,0.74125,0.7721405841831727,0.74125,0.7256317813585655,1.3110193729400634,0.59875,0.6206530833501901,0.59875,0.54073574383882,180.5316379070282
2,0.00011999999999999999,0.7993247096879141,0.7079741379310345,0.7014234018363156,0.7077680183686269,0.7022449778186466,0.6611652898788453,0.79125,0.7940919799997025,0.79125,0.7831687308835777,1.1465210247039794,0.76125,0.7640176885354344,0.76125,0.7545595325173331,170.84381103515625
3,0.00020999999999999998,0.7525132785524641,0.6979166666666666,0.695002222244814,0.6981092036834609,0.6949854692860653,0.6674999755620956,0.76375,0.7686897595483454,0.76375,0.7411531575764471,0.9514306068420411,0.79125,0.8046285087012032,0.79125,0.7889650834149636,151.45337295532227
4,0.0003,0.711262172290257,0.7464080459770115,0.7441498973616035,0.7465554748614042,0.7437970882623923,0.5840952378511429,0.79875,0.8039747445092927,0.7987500000000001,0.7888966461181229,0.8329087209701538,0.78125,0.7982595781247467,0.78125,0.7755374661270726,157.46673274040222
5,0.00029898575366129145,0.6507923786980765,0.7507183908045977,0.7502280481896646,0.7506659216942811,0.7498679508666306,0.5266954529285431,0.85625,0.8622971729816029,0.85625,0.8574323179590342,0.7437545490264893,0.79875,0.815387595168105,0.7987500000000001,0.7936056472814703,144.2743899822235
6,0.00029595673058697357,0.6383892243249075,0.7679597701149425,0.7692676672700071,0.7681073681712669,0.7672219963771016,0.5847200882434845,0.775,0.8149321518820206,0.775,0.7634234081278385,0.6709528315067291,0.80875,0.8144911732004974,0.80875,0.8040647844925403,159.93851518630981
7,0.0002909538931178862,0.6506813441004072,0.7611350574712644,0.7641276622262585,0.7611245221899955,0.7615701802225,0.5037404894828796,0.84,0.8561512574930054,0.8400000000000001,0.836717261901638,0.6097946333885192,0.8325,0.8311912439915067,0.8325,0.8294100950418497,175.54043173789978
8,0.0002840448960485118,0.5874996335165841,0.7844827586206896,0.7845385465006565,0.7845608661337062,0.7844313735927285,0.517371917963028,0.83125,0.8482681511407779,0.83125,0.8235948790002211,0.5597211527824402,0.85125,0.8490107273099077,0.8512500000000001,0.8491204912121703,157.14741826057434
9,0.00027532317171194046,0.6076929361479623,0.7898706896551724,0.7921486671632942,0.7898586676594508,0.7906936458748345,0.5205346065759658,0.8275,0.8561415271473165,0.8275,0.8180734657522242,0.5263045513629914,0.83875,0.8358906135741138,0.8387499999999999,0.8365510740671822,144.14661812782288
10,0.00026490666646784665,0.5504318700517927,0.7902298850574713,0.791898442332694,0.7902247712742478,0.7907810061613679,0.45954817414283755,0.865,0.8663702097487709,0.865,0.8654231222370606,0.5002265501022339,0.84875,0.8469046504396358,0.84875,0.8473243352470315,149.25719809532166
